city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bredasdorp,-34.53,20.04,62.6,88.0,2.0,11.41,ZA,1587842200.0
piacabucu,-10.41,-36.43,83.53,65.0,10.0,10.0,BR,1587842204.0
vaini,-21.2,-175.2,75.2,94.0,75.0,5.82,TO,1587842204.0
mount gambier,-37.83,140.77,60.8,93.0,95.0,17.22,AU,1587842206.0
hobart,-42.88,147.33,59.68,59.0,40.0,19.46,AU,1587842023.0
hithadhoo,-0.6,73.08,84.31,71.0,85.0,4.97,MV,1587842206.0
khatanga,71.97,102.5,19.8,96.0,100.0,13.29,RU,1587842206.0
paamiut,61.99,-49.67,34.45,89.0,100.0,9.89,GL,1587842206.0
hermanus,-34.42,19.23,66.0,73.0,0.0,1.99,ZA,1587842207.0
leshukonskoye,64.9,45.76,30.2,95.0,100.0,8.01,RU,1587842207.0
lenine,45.3,35.78,52.16,67.0,0.0,11.72,UA,1587842207.0
kushiro,42.98,144.37,44.49,88.0,91.0,13.15,JP,1587842207.0
east london,-33.02,27.91,66.51,76.0,49.0,10.47,ZA,1587842208.0
adre,13.47,22.2,86.5,9.0,8.0,11.23,TD,1587842208.0
bilibino,68.05,166.44,23.09,94.0,94.0,1.88,RU,1587842208.0
ahipara,-35.17,173.17,60.37,84.0,5.0,9.42,NZ,1587842208.0
rikitea,-23.12,-134.97,76.03,79.0,13.0,13.69,PF,1587842208.0
thinadhoo,0.53,72.93,84.9,73.0,98.0,9.66,MV,1587842209.0
te anau,-45.42,167.72,46.18,67.0,97.0,5.88,NZ,1587842209.0
georgetown,5.41,100.34,78.4,94.0,40.0,1.41,MY,1587842209.0
ozernovskiy,51.5,156.52,31.24,96.0,100.0,10.11,RU,1587842210.0
punta arenas,-53.15,-70.92,45.1,60.0,51.0,12.03,CL,1587841955.0
acajutla,13.59,-89.83,87.06,61.0,43.0,6.15,SV,1587842101.0
syracuse,37.09,15.28,58.82,72.0,40.0,3.36,IT,1587842210.0
karymskoye,51.62,114.35,38.17,50.0,0.0,1.77,RU,1587842210.0
gazojak,41.19,61.4,71.1,34.0,61.0,14.29,TM,1587842211.0
kainantu,-6.29,145.87,61.27,62.0,99.0,1.41,PG,1587842211.0
